City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Thompson,CA,84.36,smoke,55.7435,-97.8558,Burntwood Hotel
2,Oistins,BB,80.69,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
5,Praia Da Vitoria,PT,74.75,overcast clouds,38.7333,-27.0667,Hotel Branco I
6,Esil,KZ,70.72,clear sky,51.9556,66.4042,Egorkino Hotel
11,Georgetown,MY,75.88,few clouds,5.4112,100.3354,Cititel Penang
13,Muisne,EC,76.24,broken clouds,0.6,-80.0333,Quinta Samay
15,Cayenne,GF,83.08,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
16,Porbandar,IN,81.23,overcast clouds,21.6422,69.6093,Lords Inn Porbandar
29,Bengkulu,ID,73.58,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
35,Nichinan,JP,82.08,broken clouds,31.6,131.3667,Guest House Aki
36,Deogarh,IN,74.28,overcast clouds,21.5333,84.7333,RM Hostel
43,Koani,TZ,71.29,scattered clouds,-6.1333,39.2833,Northcliff BnB
44,Hithadhoo,MV,81.34,overcast clouds,-0.6,73.0833,Scoop Guest House
45,Eyl,SO,81.39,scattered clouds,7.9803,49.8164,Amiin Hotel
48,Naze,JP,83.32,overcast clouds,28.3667,129.4833,奄美ポートタワーホテル
51,Jalingo,NG,72.64,light rain,8.8833,11.3667,Debright Motel
52,Sibolga,ID,74.71,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
53,Santo Antonio Do Ica,BR,71.64,broken clouds,-3.1022,-67.9397,HOTEL AMAZON WAY
57,San Juan De La Maguana,DO,80.08,overcast clouds,18.8059,-71.2299,Hotel Maguana
61,Tautira,PF,82.42,scattered clouds,-17.7333,-149.15,Pension Oaoa
62,Inuvik,CA,81.36,broken clouds,68.3499,-133.7218,Nova Inn Inuvik
64,Fethiye,TR,76.87,clear sky,36.6217,29.1164,Club & Hotel Letoonia
65,Puerto Ayora,EC,71.55,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
68,Abu Zabad,SD,74.01,overcast clouds,12.35,29.25,حامد محمد نور
72,Pacific Grove,US,84.16,clear sky,36.6177,-121.9166,Lovers Point Inn
75,Bubaque,GW,79.79,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
79,Saint Anthony,US,79.79,broken clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
87,Porto Novo,BJ,78.62,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
88,Zhangye,CN,71.29,overcast clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
91,Padang,ID,75.25,light rain,-0.9492,100.3543,Mercure Padang
93,Mackay,AU,74.68,clear sky,-21.15,149.2,International Lodge Motel
97,Okhtyrka,UA,71.49,few clouds,50.3104,34.8988,У нас як вдома
102,Ouricuri,BR,74.82,broken clouds,-7.8825,-40.0817,Sertão Pousada
104,Butaritari,KI,83.08,clear sky,3.0707,172.7902,Isles Sunset Lodge
105,Rabo De Peixe,PT,72.91,broken clouds,37.8,-25.5833,Quinta das Giestas
107,Puri,IN,83.37,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
108,Atuona,PF,77.11,scattered clouds,-9.8,-139.0333,Villa Enata
111,Sajanan,TN,76.12,scattered clouds,37.0573,9.2426,Centre de culture du tabac sejenene
112,Mumford,GH,74.98,scattered clouds,5.2618,-0.759,Spanish Villa
114,Gold Coast,AU,73.99,broken clouds,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
115,Kununurra,AU,71.58,few clouds,-15.7667,128.7333,Hotel Kununurra
116,Arrifes,PT,71.85,broken clouds,37.7667,-25.7,Hotel Ponta Delgada
117,Hilo,US,79.25,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
119,Kavieng,PG,83.28,clear sky,-2.5744,150.7967,Nusa Island Retreat
120,Faanui,PF,77.63,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
121,Puerto Lopez,CO,72.61,scattered clouds,4.0845,-72.956,Resguardo Indigena Maguare
122,Srandakan,ID,75.07,scattered clouds,-7.9386,110.2506,Puri Brata
123,Kapaa,US,84.52,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
124,Gabu,GW,73.29,overcast clouds,12.2833,-14.2167,Hotel karsa
129,Aden,YE,81.82,overcast clouds,12.7794,45.0367,Sama Emirate Hotel
130,Katsuura,JP,84.31,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
133,Marsh Harbour,BS,84.92,broken clouds,26.5412,-77.0636,Abaco Beach Resort
134,Shingu,JP,83.91,broken clouds,33.7333,135.9833,Shingu UI Hotel
136,Avarua,CK,77.05,moderate rain,-21.2078,-159.775,Paradise Inn
140,Sechura,PE,70.14,clear sky,-5.5569,-80.8222,Hospedaje Costa Bella
143,Akyab,MM,79.61,overcast clouds,20.15,92.9,Hotel Memory
146,Lagoa,PT,71.85,scattered clouds,39.05,-27.9833,Casa Das Faias
147,Port Keats,AU,75.6,broken clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
152,Pangkalanbuun,ID,72.99,broken clouds,-2.6833,111.6167,Grand Kecubung Hotel
153,Pitimbu,BR,73.99,clear sky,-7.4706,-34.8086,Reserva do Abiaí
154,Kenai,US,75.02,clear sky,60.5544,-151.2583,Aspen Extended Stay Suites
157,Barda,AZ,76.59,overcast clouds,40.3744,47.1267,Prins Motel Restoran
162,Hay River,CA,82.38,broken clouds,60.8156,-115.7999,Ptarmigan Inn
163,Nekhayevskiy,RU,74.62,broken clouds,50.4106,41.7561,Gostevoy Dom St. Nekhayevskaya Zhil'yo Posutochno
167,Nouadhibou,MR,75.18,clear sky,20.931,-17.0347,El Medina
170,Vaini,TO,73.56,light intensity shower rain,-21.2,-175.2,Keleti Beach Resort
171,Havelock,US,75.18,thunderstorm with light rain,34.8791,-76.9013,Sherwood Motel
174,Waynesville,US,79.09,overcast clouds,35.4887,-82.9887,Best Western Smoky Mountain Inn
177,Mutata,CO,77.88,light rain,7.2441,-76.4356,RESIDENCIA ZULIMA
179,Anju,KP,71.64,light rain,39.6178,125.6647,Super Secret Russian Base
180,Juneau,US,75.2,scattered clouds,58.3019,-134.4197,"Baranof Downtown, Bw Signature Collection"
183,Fairbanks,US,79.02,overcast clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
185,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
189,Constantine,DZ,72.81,clear sky,36.365,6.6147,Grand Hotel Cirta
192,Slave Lake,CA,76.98,scattered clouds,55.2834,-114.769,Super 8 by Wyndham Slave Lake AB
198,Harper,LR,76.55,overcast clouds,4.375,-7.7169,Screensaver
200,Mahon,ES,70.36,clear sky,39.8885,4.2658,ARTIEM Capri
201,Santarem,BR,77.13,thunderstorm,-2.4431,-54.7083,Ecotur Lodge
203,Hambantota,LK,79.05,overcast clouds,6.1241,81.1185,Bungalow 63
206,Ponta Do Sol,PT,72.23,clear sky,32.6667,-17.1,Hotel do Campo
208,Arys,KZ,77.22,overcast clouds,42.4252,68.795,Gostinitsa
214,Bardiyah,LY,79.72,clear sky,31.7561,25.0865,بورتو بردية
217,Touros,BR,77.9,clear sky,-5.1989,-35.4608,INN NEW HORIZON
219,Yatou,CN,76.53,clear sky,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
221,San Cristobal,VE,77.18,broken clouds,7.7669,-72.225,Posada Villaven C.A.
224,Praya,CV,77.54,broken clouds,14.9215,-23.5087,LT Aparthotel
228,Vallenar,CL,70.45,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
230,Zaraza,VE,74.43,scattered clouds,9.3503,-65.3245,Hotel Zaraza
