City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Qaqortoq,GL,2021-07-29 22:35:55,60.7167,-46.0333,55.9,83,80,1.97
1,Mataura,NZ,2021-07-29 22:35:56,-46.1927,168.8643,44.47,78,86,4.59
2,Turinsk,RU,2021-07-29 22:35:56,58.0458,63.696,52.16,98,84,4.59
3,Dikson,RU,2021-07-29 22:35:57,73.5069,80.5464,44.06,80,100,14.12
4,Punta Arenas,CL,2021-07-29 22:35:57,-53.15,-70.9167,39.31,81,0,18.41
5,Vanimo,PG,2021-07-29 22:35:57,-2.6741,141.3028,79.77,88,64,3.98
6,Talnakh,RU,2021-07-29 22:35:58,69.4865,88.3972,60.19,77,99,2.62
7,Hobart,AU,2021-07-29 22:32:43,-42.8794,147.3294,47.12,80,75,1.99
8,Sisimiut,GL,2021-07-29 22:31:08,66.9395,-53.6735,50.77,67,89,4.88
9,Berlevag,NO,2021-07-29 22:35:58,70.8578,29.0864,44.06,88,100,5.08
10,Saint-Philippe,RE,2021-07-29 22:35:58,-21.3585,55.7679,67.59,85,89,15.97
11,Basoko,CD,2021-07-29 22:35:59,1.2391,23.616,72.75,75,28,2.35
12,Georgetown,MY,2021-07-29 22:33:03,5.4112,100.3354,77.9,93,20,5.01
13,Sistranda,NO,2021-07-29 22:35:59,63.7256,8.834,57.16,85,64,15.05
14,Jamestown,US,2021-07-29 22:32:56,42.097,-79.2353,78.39,73,40,13.8
15,Albany,US,2021-07-29 22:34:08,42.6001,-73.9662,70.66,98,100,6.13
16,Airai,TL,2021-07-29 22:36:00,-8.9266,125.4092,61.54,51,43,2.66
17,Port Alfred,ZA,2021-07-29 22:36:00,-33.5906,26.891,56.32,85,1,10.56
18,Hilo,US,2021-07-29 22:36:00,19.7297,-155.09,82.13,73,75,9.22
19,Ushuaia,AR,2021-07-29 22:36:01,-54.8,-68.3,44.26,42,20,19.57
20,Lompoc,US,2021-07-29 22:36:01,34.6391,-120.4579,92.01,73,75,17.27
21,Kapaa,US,2021-07-29 22:36:01,22.0752,-159.319,86.32,67,20,3.0
22,Saskylakh,RU,2021-07-29 22:36:02,71.9167,114.0833,76.37,45,9,4.45
23,Shawnee,US,2021-07-29 22:36:02,39.05,-95.7669,100.85,48,20,1.01
24,Mahebourg,MU,2021-07-29 22:36:03,-20.4081,57.7,68.29,83,75,21.85
25,Hithadhoo,MV,2021-07-29 22:36:03,-0.6,73.0833,82.11,72,100,4.59
26,Nicoya,CR,2021-07-29 22:36:03,10.1483,-85.452,89.15,81,66,3.29
27,Butaritari,KI,2021-07-29 22:34:41,3.0707,172.7902,83.95,70,15,12.06
28,Cape Town,ZA,2021-07-29 22:36:04,-33.9258,18.4232,54.12,90,20,1.01
29,Talas,TR,2021-07-29 22:36:04,38.6908,35.5538,59.67,72,0,4.61
30,Cardston,CA,2021-07-29 22:36:04,49.2,-113.3019,93.06,25,46,6.91
31,Bitung,ID,2021-07-29 22:36:05,1.4451,125.1824,74.25,80,16,7.78
32,Den Helder,NL,2021-07-29 22:36:05,52.9599,4.7593,64.38,83,75,17.27
33,Statesboro,US,2021-07-29 22:31:08,32.4488,-81.7832,93.51,49,1,0.0
34,Kodinsk,RU,2021-07-29 22:36:05,58.6881,99.1844,56.48,94,100,2.55
35,Avarua,CK,2021-07-29 22:36:06,-21.2078,-159.775,77.05,65,75,4.61
36,Rikitea,PF,2021-07-29 22:34:23,-23.1203,-134.9692,71.74,76,34,6.85
37,Moctezuma,MX,2021-07-29 22:36:06,29.8,-109.6667,73.76,82,79,14.29
38,Esperance,AU,2021-07-29 22:35:16,-33.8667,121.9,51.64,72,94,23.47
39,Yulara,AU,2021-07-29 22:36:06,-25.2406,130.9889,53.44,66,0,5.75
40,Tuatapere,NZ,2021-07-29 22:36:07,-46.1333,167.6833,44.82,79,100,3.89
41,Padang,ID,2021-07-29 22:36:08,-0.9492,100.3543,69.85,79,100,3.62
42,Tautira,PF,2021-07-29 22:36:08,-17.7333,-149.15,82.42,78,54,3.56
43,Tuktoyaktuk,CA,2021-07-29 22:36:08,69.4541,-133.0374,60.8,88,90,10.36
44,Waipawa,NZ,2021-07-29 22:36:08,-41.4122,175.5153,55.45,65,27,4.36
45,Honiara,SB,2021-07-29 22:36:09,-9.4333,159.95,83.91,71,1,5.1
46,Carnarvon,AU,2021-07-29 22:36:09,-24.8667,113.6333,64.47,76,75,11.5
47,Severo-Kurilsk,RU,2021-07-29 22:32:14,50.6789,156.125,60.37,94,92,4.25
48,Rawson,AR,2021-07-29 22:31:21,-43.3002,-65.1023,54.59,50,36,16.67
49,Roald,NO,2021-07-29 22:36:10,62.5833,6.1333,62.91,94,80,16.11
50,Pevek,RU,2021-07-29 22:36:10,69.7008,170.3133,32.07,98,100,24.43
51,Torbay,CA,2021-07-29 22:36:10,47.6666,-52.7314,64.38,64,2,20.0
52,Upernavik,GL,2021-07-29 22:36:11,72.7868,-56.1549,44.92,88,100,4.18
53,Ponta Do Sol,PT,2021-07-29 22:36:11,32.6667,-17.1,72.23,66,15,6.69
54,Lorengau,PG,2021-07-29 22:35:28,-2.0226,147.2712,83.62,74,20,3.76
55,Iwanai,JP,2021-07-29 22:36:11,42.9744,140.5089,81.81,69,27,5.23
56,Roseburg,US,2021-07-29 22:36:12,43.2165,-123.3417,99.09,23,1,11.5
57,Harper,LR,2021-07-29 22:36:12,4.375,-7.7169,76.28,83,74,6.64
58,Clarksville,US,2021-07-29 22:36:13,36.5298,-87.3595,93.18,62,1,12.66
59,Sitka,US,2021-07-29 22:34:38,57.0531,-135.33,67.89,60,1,6.91
60,General Pico,AR,2021-07-29 22:36:13,-35.6566,-63.7568,47.05,40,0,9.01
61,Baoqing,CN,2021-07-29 22:36:14,46.3317,132.2111,73.11,80,100,4.41
62,Mar Del Plata,AR,2021-07-29 22:31:50,-38.0023,-57.5575,51.01,71,0,4.61
63,Belaya Gora,RU,2021-07-29 22:36:14,68.5333,146.4167,51.64,51,100,4.27
64,Salvador,SV,2021-07-29 22:34:32,13.8333,-88.9167,81.0,74,85,0.63
65,Santa Rita,BR,2021-07-29 22:36:15,-7.1139,-34.9781,75.87,88,0,6.91
66,Pisco,PE,2021-07-29 22:36:15,-13.7,-76.2167,64.45,72,90,10.36
67,Pathein,MM,2021-07-29 22:36:16,16.7833,94.7333,78.57,91,91,7.11
68,Katsuura,JP,2021-07-29 22:36:16,35.1333,140.3,84.11,83,43,6.69
69,Carbonia,IT,2021-07-29 22:36:16,39.1672,8.5222,79.0,64,0,3.91
70,Turukhansk,RU,2021-07-29 22:36:16,65.8167,87.9833,56.41,91,100,7.05
71,Lasa,IT,2021-07-29 22:36:17,46.6166,10.7002,65.28,93,5,2.35
72,Viedma,AR,2021-07-29 22:36:17,-40.8135,-62.9967,53.85,33,0,11.79
73,Houma,US,2021-07-29 22:36:18,29.5958,-90.7195,90.0,78,67,1.99
74,Mount Abu,IN,2021-07-29 22:36:18,24.6,72.7,67.39,89,100,11.77
75,Sidhi,IN,2021-07-29 22:36:18,24.4167,81.8833,75.85,93,100,10.2
76,Novosheshminsk,RU,2021-07-29 22:36:19,55.0651,51.2338,62.33,97,91,11.05
77,Ternate,ID,2021-07-29 22:36:19,0.8,127.4,80.89,79,31,3.13
78,Inuvik,CA,2021-07-29 22:36:19,68.3499,-133.7218,70.56,54,75,5.75
79,Bluff,NZ,2021-07-29 22:36:19,-46.6,168.3333,44.8,73,94,4.7
80,Adrar,MR,2021-07-29 22:36:20,20.5022,-10.0711,90.45,32,36,16.75
81,Arman,RU,2021-07-29 22:36:17,59.7,150.1667,54.36,47,4,13.94
